"","dtime","bela_co2_flux","C.mod.flux","NEP_gC","DIC_pred","DIC_sat","oxy","oxysat","bela_co2_conc","bela_co2_sat"
"535",2019-08-13 21:00:00,2.80456963379782,-0.276001753891857,-4.20023365408643,5.36772549866682,5.10274696192272,7.887,8.70537220208811,1.20006795872711,0.0133137956938298
"536",2019-08-13 21:10:00,2.89829080042137,-0.271690803946604,-4.20023365408643,5.37211833647978,5.10398661748392,7.655,8.72556863150535,1.24006051118563,0.0133821087212712
"537",2019-08-13 21:20:00,3.01166957020769,-0.266846972687261,-4.20023365408643,5.37719281863366,5.10508612631558,7.446,8.767881339945,1.28711970133649,0.0134432899478732
"538",2019-08-13 21:30:00,3.11269190542646,-0.261437858626239,-4.20023365408643,5.38170291024731,5.10611485542511,7.269,8.80438628475138,1.32956875909117,0.0135010427105722
"539",2019-08-13 21:40:00,3.19978234140358,-0.2559921512572,-4.20023365408643,5.38567656664145,5.10720996594989,7.11,8.84285660888106,1.36738403294705,0.0135630709081864
"540",2019-08-13 21:50:00,3.29138355134908,-0.249899542867785,-4.20023365408643,5.38970076055258,5.1080980687856,6.942,8.86854307330875,1.40617779579659,0.0136137945792791
"541",2019-08-13 22:00:00,3.37010397256917,-0.243312468422805,-4.20023365408643,5.39321120233732,5.1089846688117,6.796,8.89131759597304,1.44032158537336,0.0136648125008941
"542",2019-08-13 22:10:00,3.44116700108667,-0.236586676179946,-4.20023365408643,5.39649285831743,5.11000579961101,6.681,8.9239508317809,1.47245522556803,0.0137240476496784
"543",2019-08-13 22:20:00,3.52331074053,-0.229170092810756,-4.20023365408643,5.40011784325515,5.11088915809986,6.572,8.95178890743167,1.50831473163567,0.0137757063277439
"544",2019-08-13 22:30:00,3.56473165533338,-0.22100990327283,-4.20023365408643,5.40211174802873,5.11163543819736,6.481,8.98830603628653,1.52809029620749,0.013819652357078
"545",2019-08-13 22:40:00,3.64213682158459,-0.212373510590561,-4.20023365408643,5.40554832182582,5.11251601337432,6.382,9.00831813582238,1.56249261780025,0.0138718679530564
"546",2019-08-13 22:50:00,3.69911569460251,-0.203468268356941,-4.20023365408643,5.40828754246556,5.11353018600661,6.309,9.04348073129127,1.5900036317724,0.0139324954390929
"547",2019-08-13 23:00:00,3.73307143871964,-0.193713789291974,-4.20023365408643,5.41012098516456,5.11447493248232,6.242,9.07750553880625,1.60842996398938,0.0139894499546905
"548",2019-08-13 23:10:00,3.81912584863211,-0.182762239239159,-4.20023365408643,5.41372343687523,5.11508134362572,6.168,9.09113939617596,1.64517057612546,0.0140262529224618
"549",2019-08-13 23:20:00,3.8684629620722,-0.171053092376945,-4.20023365408643,5.41606150181064,5.11588876393618,6.116,9.1304645411039,1.66903412123118,0.0140755555127017
"550",2019-08-13 23:30:00,3.92888347647883,-0.158564545625417,-4.20023365408643,5.41890009357185,5.1168291241303,6.067,9.1512409270424,1.69815154754142,0.0141334123787562
"551",2019-08-13 23:40:00,3.98278057286588,-0.144987870110561,-4.20023365408643,5.42145681932117,5.11770074275421,6.029,9.17370920253141,1.724493296572,0.0141874640362991
"552",2019-08-13 23:50:00,4.0227312586786,-0.129567158750979,-4.20023365408643,5.42328616472826,5.11823637013767,6.008,9.20860698570042,1.74343269838653,0.0142208843016058
"553",2019-08-14,4.0555272655011,-0.112775047169945,-4.20023365408643,5.42493342678695,5.11890509686367,5.98,9.22807365364905,1.76048652805623,0.0142628295516552
"554",2019-08-14 00:10:00,4.09108412259951,-0.0949089994447149,-4.20023365408643,5.42685705658269,5.11983980622761,5.974,9.25455098930354,1.78041895279976,0.014321871920175
"555",2019-08-14 00:20:00,4.12278000199804,-0.0749187066485385,-4.20023365408643,5.42851348059188,5.1205729858494,5.965,9.27952133458462,1.79764924552887,0.0143685251100071
"556",2019-08-14 00:30:00,4.12680105013941,-0.0527149037088343,-4.20023365408643,5.42913665006624,5.12130507825469,5.959,9.30275601220213,1.80402744781146,0.0144154110362277
"557",2019-08-14 00:40:00,4.16371538329926,-0.0275488607838691,-4.20023365408643,5.43082298095016,5.12177038896,5.958,9.32443804256027,1.82170145800479,0.0144453693491119
"558",2019-08-14 00:50:00,4.17629187149474,0.000416059965310812,-4.20023365408643,5.43164209848168,5.1223016331392,5.952,9.34600172143453,1.83022559067555,0.014479723982275
"559",2019-08-14 01:00:00,4.18697235040532,0.0315071464621773,-4.20023365408643,5.43243559310833,5.12289859480792,5.942,9.36974020082473,1.83847263602559,0.0145185222082986
"560",2019-08-14 01:10:00,4.17648435750732,0.066466128356037,-4.20023365408643,5.43239145153109,5.12342861564867,5.981,9.39715037100152,1.83787329414246,0.0145531428022855
"561",2019-08-14 01:20:00,4.1905853311855,0.105917427216717,-4.20023365408643,5.43322897657802,5.12389191145511,5.976,9.40828022762367,1.84663011828268,0.014583539172824
"562",2019-08-14 01:30:00,4.1844845171568,0.150491909428401,-4.20023365408643,5.43330703315935,5.12435476623026,5.998,9.42849929919702,1.84734272460442,0.0146140323903893
"563",2019-08-14 01:40:00,4.17799429104052,0.200689268442967,-4.20023365408643,5.43345853346027,5.12494921703875,6,9.44710089935115,1.84880164909991,0.0146533808579871
"564",2019-08-14 01:50:00,4.18513895164523,0.257580601542728,-4.20023365408643,5.43408168627887,5.12547700544695,6.011,9.4638552836552,1.85528162214233,0.0146884928273572
"565",2019-08-14 02:00:00,4.1455399308258,0.322327701505179,-4.20023365408643,5.43289146115155,5.12593834746758,6.039,9.49196716143906,1.84254542996411,0.0147193209142208
"566",2019-08-14 02:10:00,4.18848216946986,0.395690960403838,-4.20023365408643,5.43487331345355,5.1264650550069,6.065,9.50693478493366,1.86344419134431,0.0147546736478087
"567",2019-08-14 02:20:00,4.18661604561197,0.479083380553857,-4.20023365408643,5.43498045636035,5.12672819255172,6.048,9.50886221258247,1.86451794587058,0.0147723984357213
