"","code","MinFrom0","SpC_corr","DOC_conc","Delta.13C","AF_corr","doc_13C","delCO2","co2AF_corr","DIC13","removed_c"
"116","b_g2_down",160,53.1487455197133,1.92,372.059,0.00429847132642514,0.00825306494673627,0.363220589,0.000228164301947966,0.0157205204042149,0.0676737143671398
"117","b_g2_down",165,49.4086021505377,6.8,82.255,0.00112986879932841,0.00768310783543316,0.62806371,0.000231074589815174,0.0159210392382655,0.0629006095224778
"118","b_g2_down",170,45.668458781362,1.98,41.936,0.000687420359984908,0.00136109231277012,-1.620253945,0.000206367903869143,0.014218748576584,0.0638795630891756
"119","b_g2_down",173,46.8243727598567,1.99,249.068,0.00295622211635856,0.00588288201155354,-0.305250658,0.000220818579962753,0.0152144001594336,0.061009079073956
"120","b_g2_down",176,45.9802867383513,2.03,246.834,0.00293180776103139,0.00595156975489371,-1.569356415,0.000206927228746261,0.0142572860606174,0.0597345541570367
"121","b_g2_down",179,44.1362007168459,1.97,217.076,0.00260648097182908,0.00513476751450329,-1.595336967,0.000206641722454869,0.0142376146771405,0.0579169477952766
"122","b_g2_down",182,42.2921146953405,5.36,57.855,0.000862157958015274,0.00462116665496187,-0.919223486,0.000214071636104436,0.0147495357275957,0.0557961400526675
"123","b_g2_down",185,40.4480286738351,3.22,9.327,0.000329289150495808,0.0010603110645965,-2.231681781,0.000199648730732149,0.013755797547445,0.0567225870408823
"124","b_g2_down",190,37.7078853046595,3.78,2.39,0.000253069459093003,0.000956602555371552,-1.880862074,0.000203504010192737,0.0140214263022796,0.0529118050227135
"125","b_g2_down",195,35.9677419354839,2.59,-1.31,0.000212411221654054,0.000550145064083999,-2.016245153,0.000202016242134635,0.0139189190830763,0.0508323434151787
"126","b_g2_down",205,30.4874551971326,4.34,-2.24,0.000202191192922864,0.000877509777285231,-3.280155685,0.000188126508114972,0.0129619164091216,0.04267599764719
"127","b_g2_down",215,28.0071684587814,2.32,10.629,0.000343593454026585,0.000797136813341677,5.930709691,0.000289340296358182,0.0199355464190787,0.0392131038420603
"128","b_g2_down",225,24.5268817204301,3.21,12.09,0.000359644103709934,0.00115445757290889,-6.046949719,0.000157719486681872,0.010866872632381,0.0338839448848484
"129","b_g2_down",255,16.0860215053764,39.5,-21.935,-1.42922582849724e-05,-0.000564544202256408,-6.038156703,0.000157816124746551,0.0108735309950374,0.0235445749242226
"130","b_g2_down",285,8.6451612903226,5.81,-20.224,4.51846649559065e-06,2.62522903393817e-05,-7.541503756,0.000141293584271118,0.00973512795628005,0.0123239781244072
"131","b_g2_down",315,4.20430107526883,45.4,-22.361,-1.89758112350905e-05,-0.000861501830073107,-11.62149782,9.64496143014554e-05,0.00664537842537027,0.00686764622331429
"132","b_g2_down",345,0.763440860215063,61.9,-23.576,-3.23340756248729e-05,-0.00200147928117963,-13.09531515,8.02496153425938e-05,0.00552919849710471,0.00309210908148686
"133","b_g2_down",405,-3.11827956989247,NA,NA,NA,-0.0015,-14.6453005,6.32118153331852e-05,0.00435529407645646,-0.00295468509984638
"134","b_g2_down",465,0,45.6,-22.683,-2.25159910202839e-05,-0.00102672919052495,-15.56207492,5.31341410780241e-05,0.00366094232027586,0.00102672919052495
"135","b_g2_down",510,2.33870967741935,2.56,-14.588,6.64755605754037e-05,0.000170177435073033,-15.87477814,4.96966932358629e-05,0.00342410216395096,0.00317083638981176
"136","b_g2_down",585,NA,2.19,-12.902,8.50084136795465e-05,0.000186168425958207,-17.3039718,3.39857140676959e-05,0.00234161569926424,0
"137","b_g2_down",725,NA,NA,NA,NA,NA,-19.23752676,1.27295484718751e-05,0.000877065889712192,0
"138","b_g2_down",725,NA,NA,NA,NA,NA,-19.30144357,1.20268756805021e-05,0.000828651734386596,0
"139","b_g2_down",1430,NA,NA,NA,NA,NA,-22.0789833,-1.85091168967665e-05,-0.00127527815418721,0
"140","b_g2_down",1430,NA,NA,NA,NA,NA,-21.61311428,-1.33872681242278e-05,-0.000922382773759295,0
"141","b_l_up",3,0.295380611581002,7.61,-28.295,-1.37862895603514e-05,-0.000104913663554274,-22.55894336,3.69863847507479e-07,2.6060606695377e-05,0.000512820222404229
"142","b_l_up",3,0.295380611581002,6.72,-27.113,-7.89474066826765e-07,-5.30526572907586e-06,-22.66981275,-8.49075218647966e-07,-5.98258399059356e-05,0.000413211824579031
"143","b_l_up",10,-0.598731294729994,5.51,-25.82,1.34274634251991e-05,7.39853234728473e-05,-22.75491086,-1.78467734182099e-06,-0.000125748365504707,-0.000900804730480934
"144","b_l_up",15,0.47690305790501,4.04,-26.335,7.76492708281541e-06,3.13703054145743e-05,-22.87168594,-3.06855142473243e-06,-0.000216210133386647,0.00062721010788282
"145","b_l_up",25,0.628171763175016,7.96,-27.643,-6.61710713685364e-06,-5.26721728093549e-05,-22.10757006,5.33239778417564e-06,0.000375720747873016,0.000920147464812949
"146","b_l_up",30,0.70380611581002,5.43,-26.475,6.2255856075541e-06,3.38049298490187e-05,-22.37917998,2.34624252783144e-06,0.000165316248511004,0.000938117801507675
"147","b_l_up",34,-0.235686402081978,4.09,-13.701,0.000146659778157537,0.000599838492664326,-22.10302694,5.38234595994815e-06,0.000379240096337946,-0.000925310190777534
"148","b_l_up",37,0.809694209499024,5.53,21.308,0.000531335738761083,0.00293828663534879,-21.44016582,1.26699496618265e-05,0.000892724653172294,-0.00182013748889775
"149","b_l_up",40.1666666666667,2.85759596616786,9.77,67.655,0.00104013264377828,0.0101620959297138,-20.67207628,2.11143175366229e-05,0.00148771481363045,-0.00621589197643437
"150","b_l_up",43,3.90045543266103,8.37,228.087,0.0027973168487227,0.023413542023809,-20.06118789,2.78303147755437e-05,0.00196092397908481,-0.0180271988072771
"151","b_l_up",46,14.945836044242,7.52,413.245,0.00481756813267756,0.0362281123577352,-19.43454977,3.47193669586552e-05,0.00244632659590685,-0.0155886244871153
"152","b_l_up",49,23.991216655823,6.29,698.934,0.00791852517330092,0.0498075233400628,-22.10757006,5.33239778417564e-06,0.000375720747873016,-0.0166767955772595
"153","b_l_up",52,36.036597267404,4.47,1111.142,0.0123584830587646,0.0552424192726776,-13.79790142,9.66825005919141e-05,0.00681224899170627,-0.0054775944748339
"154","b_l_up",55,49.081977878985,4.33,1417.078,0.0156278788171502,0.0676687152782602,-16.7382464,6.43605394385835e-05,0.00453484360884259,0.000111158935576325
"155","b_l_up",58,62.127358490566,3.57,1813.68,0.0198337459265455,0.0708064729577676,-7.73007986,0.000163376803491306,0.0115115295739974,0.0149884506720617
"156","b_l_up",61,72.172739102147,2.01,3156.818,0.0338113616897442,0.0679608369963858,-1.94068957,0.000227002351660035,0.0159945856979661,0.0317062789065791
"157","b_l_up",64,75.218119713728,NA,3142.019,0.0336595497555642,0.0671530311694297,1.21785089,0.00026171134104864,0.0184401810902872,0.0367196103400043
"158","b_l_up",67,79.263500325309,1.98,3127.22,0.0335076895669058,0.0663452253424735,2.113689909,0.000271555212466306,0.0191337802703759,0.0431138941543818
