time,white_co2,bela_co2,white_temp,bela_temp
8/11/19 16:10:00,1893.61,1562.4,21.72,23.43
8/11/19 16:20:00,1933.3,1606.26,21.59,23.31
8/11/19 16:30:00,1977.72,1661.8,21.46,23.17
8/11/19 16:40:00,2016.36,1723.18,21.34,23.07
8/11/19 16:50:00,2074.92,1790.22,21.23,22.99
8/11/19 17:00:00,2127.4,1829.35,21.08,22.91
8/11/19 17:10:00,2183.87,1858.97,20.94,22.82
8/11/19 17:20:00,2241.81,1891.77,20.86,22.75
8/11/19 17:30:00,2294.66,1941.6,20.72,22.64
8/11/19 17:40:00,2344.74,1927.15,20.59,22.53
8/11/19 17:50:00,2365.07,1948.77,20.49,22.45
8/11/19 18:00:00,2377.31,1951.52,20.44,22.44
8/11/19 18:10:00,2372.61,1923.96,20.38,22.41
8/11/19 18:20:00,2372.62,1898.91,20.31,22.35
8/11/19 18:30:00,2368.76,1887.75,20.24,22.27
8/11/19 18:40:00,2377.51,1884.09,20.14,22.14
8/11/19 18:50:00,2397.07,1932.34,20.04,22.02
8/11/19 19:00:00,2406.36,2003.7,19.96,21.89
8/11/19 19:10:00,2413.52,2058.87,19.91,21.79
8/11/19 19:20:00,2424.13,2129.37,19.83,21.67
8/11/19 19:30:00,2431.82,2175.64,19.74,21.57
8/11/19 19:40:00,2443.98,2188.55,19.65,21.51
8/11/19 19:50:00,2476.96,2214.53,19.57,21.41
8/11/19 20:00:00,2505.44,2221.13,19.47,21.32
8/11/19 20:10:00,2540.06,2229.41,19.38,21.26
8/11/19 20:20:00,2566.24,2271.57,19.3,21.17
8/11/19 20:30:00,2601.84,2296.92,19.22,21.08
8/11/19 20:40:00,2651.76,2338.89,19.12,21
8/11/19 20:50:00,2691.03,2398.68,19.04,20.9
8/11/19 21:00:00,2741.96,2464.29,18.95,20.81
8/11/19 21:10:00,2795.46,2526.9,18.89,20.72
8/11/19 21:20:00,2841.56,2590.84,18.8,20.66
8/11/19 21:30:00,2908.51,2647.92,18.72,20.57
8/11/19 21:40:00,2969.98,2710.68,18.65,20.48
8/11/19 21:50:00,3020.98,2760.82,18.57,20.41
8/11/19 22:00:00,3085.16,2813.06,18.47,20.3
8/11/19 22:10:00,3138.11,2855.04,18.41,20.22
8/11/19 22:20:00,3175.02,2911.44,18.35,20.13
8/11/19 22:30:00,3232.2,2959.01,18.3,20.07
8/11/19 22:40:00,3284.87,3009.43,18.21,20
8/11/19 22:50:00,3326.46,3064.7,18.15,19.93
8/11/19 23:00:00,3355.06,3127.38,18.12,19.87
8/11/19 23:10:00,3397.15,3170.7,18.07,19.83
8/11/19 23:20:00,3421.37,3208.54,18.02,19.79
8/11/19 23:30:00,3454.51,3242.98,17.99,19.71
8/11/19 23:40:00,3481.24,3262.88,17.95,19.67
8/11/19 23:50:00,3503.89,3298.96,17.91,19.63
8/12/19 0:00:00,3518.53,3322.58,17.88,19.6
8/12/19 0:10:00,3521.8,3362.67,17.87,19.54
8/12/19 0:20:00,3543.65,3388.59,17.84,19.5
8/12/19 0:30:00,3544.65,3419.07,17.79,19.45
8/12/19 0:40:00,3548.36,3427.67,17.78,19.43
8/12/19 0:50:00,3563.43,3451.14,17.76,19.4
8/12/19 1:00:00,3571.89,3467.79,17.74,19.35
8/12/19 1:10:00,3574.81,3481.75,17.72,19.31
8/12/19 1:20:00,3583.97,3480.93,17.7,19.29
8/12/19 1:30:00,3586.36,3490.82,17.69,19.26
8/12/19 1:40:00,3594.41,3504.18,17.66,19.22
8/12/19 1:50:00,3589.04,3501.39,17.64,19.19
8/12/19 2:00:00,3597.77,3501.34,17.62,19.16
8/12/19 2:10:00,3587.43,3492.55,17.63,19.14
8/12/19 2:20:00,3604.65,3513.54,17.62,19.13
8/12/19 2:30:00,3600.35,3520.04,17.58,19.12
8/12/19 2:40:00,3608.62,3516.88,17.58,19.1
8/12/19 2:50:00,3620.45,3531.49,17.57,19.06
8/12/19 3:00:00,3610.21,3508.26,17.55,19.04
8/12/19 3:10:00,3618.97,3493.53,17.54,19.04
8/12/19 3:20:00,3621.63,3504.48,17.52,19.01
8/12/19 3:30:00,3616.51,3515.83,17.52,18.97
8/12/19 3:40:00,3625.47,3522.16,17.5,18.96
8/12/19 3:50:00,3623.96,3529.2,17.48,18.95
8/12/19 4:00:00,3635.67,3525.91,17.49,18.96
8/12/19 4:10:00,3642.59,3533.91,17.48,18.95
8/12/19 4:20:00,3635.07,3551.19,17.44,18.92
8/12/19 4:30:00,3629.97,3556.28,17.45,18.9
8/12/19 4:40:00,3636.16,3548.49,17.44,18.9
8/12/19 4:50:00,3624.61,3552.08,17.42,18.88
8/12/19 5:00:00,3631.29,3552.78,17.41,18.87
8/12/19 5:10:00,3627.46,3555.12,17.41,18.86
8/12/19 5:20:00,3641.1,3565.46,17.4,18.85
8/12/19 5:30:00,3651.71,3569.12,17.37,18.83
8/12/19 5:40:00,3653.55,3554.32,17.37,18.83
8/12/19 5:50:00,3648.55,3548.37,17.36,18.83
8/12/19 6:00:00,3644.92,3556.82,17.37,18.81
8/12/19 6:10:00,3655.46,3564.35,17.35,18.78
8/12/19 6:20:00,3657.43,3564.91,17.33,18.76
8/12/19 6:30:00,3661.98,3559.27,17.32,18.77
8/12/19 6:40:00,3658.68,3540.12,17.32,18.76
8/12/19 6:50:00,3663.92,3529.59,17.3,18.75
8/12/19 7:00:00,3656.31,3531.68,17.31,18.73
8/12/19 7:10:00,3647.95,3524.78,17.31,18.73
8/12/19 7:20:00,3651.29,3529.21,17.32,18.74
8/12/19 7:30:00,3645.45,3496.9,17.28,18.74
8/12/19 7:40:00,3628.54,3480.41,17.29,18.75
8/12/19 7:50:00,3596.41,3452.46,17.32,18.75
8/12/19 8:00:00,3583.29,3426.2,17.32,18.75
8/12/19 8:10:00,3562.19,3397.7,17.31,18.75
8/12/19 8:20:00,3518.77,3355.55,17.32,18.77
8/12/19 8:30:00,3475.18,3332.73,17.34,18.8
8/12/19 8:40:00,3443.85,3266.71,17.35,18.81
8/12/19 8:50:00,3401.1,3214.93,17.37,18.81
